STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/01/45,,99,76
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/02/45,,93,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/03/45,,82,65
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/04/45,,83,65
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/05/45,,85,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/06/45,,87,72
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/07/45,,86,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/08/45,,87,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/09/45,,87,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/10/45,,88,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/11/45,,76,64
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/12/45,,79,57
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/13/45,,84,63
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/14/45,,80,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/15/45,,75,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/16/45,,78,68
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/17/45,,72,67
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/18/45,,78,66
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/19/45,,80,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/20/45,,88,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/21/45,,88,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/22/45,,86,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/23/45,,84,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/24/45,,84,77
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/25/45,,86,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/26/45,,90,73
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/27/45,,86,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/28/45,,85,71
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/29/45,,79,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/30/45,,88,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",07/31/45,,87,74
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/01/45,,85,69
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/02/45,,84,72
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/03/45,,88,70
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/04/45,,81,64
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/05/45,,81,65
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",08/06/45,,82,72
